Unnamed: 0,surprisal_diff,rt_diff
9,-3.69899845123291,906.3333333333333
10,2.7868947982788086,367.33333333333337
15,-0.9893903732299805,421.375
22,-5.064034461975098,-65.5
29,-0.3383808135986328,-30.83333333333337
31,-3.5871524810791016,-176.0
34,0.3173561096191406,-834.0
37,11.161779403686523,-148.0
40,0.9108676910400391,27.5
41,1.22373628616333,238.5
44,-3.58676815032959,119.5
51,-3.9196419715881348,581.5
53,4.557952880859375,923.5
54,-1.190168857574463,305.0
56,-1.9423503875732422,-491.5
58,3.3171377182006836,83.0
63,-4.195816516876221,305.5
64,-0.2545051574707031,-235.66666666666663
68,5.820694923400879,183.0
80,4.0921630859375,-243.0
82,0.347689151763916,-52.5
92,-0.029857635498046875,290.5
97,0.6907963752746582,-153.0
101,-3.924254894256592,-33.83333333333337
102,0.8464231491088867,300.5
110,-4.474252700805664,1.5
116,-1.9423503875732422,-491.5
120,-5.399919033050537,-1166.0
134,-4.234812259674072,-88.5
137,2.823990821838379,138.5
146,4.261544704437256,-175.0
150,-1.190168857574463,305.0
164,1.7531728744506836,349.5
171,-4.3122406005859375,25.0
180,-3.975231170654297,1387.0
187,3.796812057495117,298.0
193,0.027564048767089844,-264.0
201,-4.1352949142456055,-66.5
203,5.343892574310303,-101.0
204,4.884828090667725,-89.5
208,0.5673885345458984,-337.16666666666663
209,-4.61240291595459,192.25
210,-4.3122406005859375,25.0
214,-3.492189407348633,-274.5
215,4.358744144439697,-324.0
216,-3.58676815032959,119.5
219,-0.08602142333984375,-277.0
224,-6.1873955726623535,102.0
227,3.6841049194335938,268.16666666666674
228,-3.062633514404297,-89.0
231,5.959837436676025,637.5
237,1.3628311157226562,100.0
245,-0.6616134643554688,41.0
252,0.6631832122802734,-44.0
278,-0.38126564025878906,275.5
282,-1.2170591354370117,310.5
285,0.1305389404296875,187.0
291,0.6907963752746582,-153.0
294,-3.924254894256592,-33.83333333333337
296,0.1305389404296875,187.0
298,-1.6400465965270996,8.0
299,-6.471452713012695,885.0
307,1.8778953552246094,261.0
310,-4.139028549194336,271.0
319,1.3740406036376953,-77.5
325,4.72335958480835,47.5
326,3.7313575744628906,42.0
332,5.029196739196777,546.5
335,-4.196050643920898,-68.5
336,4.556798934936523,-91.5
341,4.5828142166137695,-29.5
350,0.44911956787109375,-105.0
353,-1.6853818893432617,41.75
360,2.283416748046875,298.5
368,-4.139028549194336,271.0
383,-1.1028823852539062,-185.0
